run,method,epochs,batch_size,grad_accum,effective_batch,lr,warmup_ratio,max_length,lora_r,lora_alpha,target_modules,trainable_params,trainable_pct,train_examples,eval_examples,optimizer_steps,elapsed_s,elapsed_min,sec_per_step,peak_mem_GB,mem_pct,avg_cpu_pct,tokens_processed,tokens_source,token_budget_used_pct,flops,flops_level,energy_kWh,carbon_kg,first_train_loss,final_train_loss,final_perplexity,final_eval_loss,final_eval_perplexity,best_eval_loss,n_eval_points
exp1_baseline,lora,3.0,2,8,16,2e-05,0.03,512,8,16,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0,0.0,2160,240,405,769.9,12.8,1.9,2.3,2.8,10.1,1392824,reported by Trainer,139.28,2240481443334144.0,2,0.027586768973646713,0.011034707589458686,2.967642402648926,0.18777843713760375,1.2065661554811113,0.2257280945777893,1.2532348575934749,0.21867895126342773,17
exp2_updated,lora,2.0,8,2,16,0.0002,0.03,512,8,16,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0,0.0,2160,240,270,140.2,2.3,0.52,2.29,2.7,10.1,1113904,reported by Trainer,111.39,1791813783834624.0,2,0.007544469122624254,0.003017787649049702,2.4760833740234376,0.1925721287727356,1.212363946877419,0.20704412460327148,1.2300368454711572,0.19972161948680878,11
exp3_attention_only,lora,2.0,8,2,16,0.0002,0.03,512,8,16,"q_proj,k_proj,v_proj,o_proj",0,0.0,2160,240,270,109.9,1.8,0.41,2.56,3.1,10.3,1113904,reported by Trainer,111.39,1791813783834624.0,2,0.006346214292778695,0.002538485717111478,2.68328742980957,0.21159892082214354,1.235652191313916,0.220027357339859,1.2461108203982911,0.21113739907741547,11
